Symbol,DATE,Open Price,Prev Close,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
RELIANCE,24-Oct-2016,1070,1064.2,1074,1060.65,1063.3,1063.3,1067.37,2403099,2565001759.25,58047
RELIANCE,25-Oct-2016,1065,1063.3,1065.25,1054.2,1063.5,1060.85,1059.75,1750711,1855315527.65,69996
RELIANCE,26-Oct-2016,1056.05,1060.85,1059.45,1052.1,1054.5,1054.05,1054.67,2502055,2638835503.7,66935
RELIANCE,27-Oct-2016,1051.1,1054.05,1053.9,1043.4,1050.5,1048.7,1048.69,2935574,3078514158.3,58825
RELIANCE,28-Oct-2016,1050,1048.7,1058,1043.8,1056,1054.95,1052.58,1857917,1955599207.5,33745
RELIANCE,30-Oct-2016,1058.75,1054.95,1058.75,1046.3,1049.55,1051.2,1052.55,362170,381202360.2,9214
RELIANCE,01-Nov-2016,1051.3,1051.2,1055.95,1047.4,1052,1051,1051.07,2337011,2456355915.7,74188
RELIANCE,02-Nov-2016,1041,1051,1042.85,1021,1026.4,1023.75,1029.71,1609225,1657027215.45,62676
RELIANCE,03-Nov-2016,1023.85,1023.75,1034.75,1020.6,1021.9,1023.95,1027.98,1671371,1718133324.85,63170
RELIANCE,04-Nov-2016,1020.25,1023.95,1026.9,1000,1006.55,1005.55,1010.83,2636911,2665480457.45,71344
RELIANCE,07-Nov-2016,1014,1005.55,1016.55,999.05,1000,1001.15,1005,2172921,2183786373.45,72315
RELIANCE,08-Nov-2016,1005.7,1001.15,1005.7,998.3,1003.9,1003.5,1001.7,3070346,3075564144.2,71607
RELIANCE,09-Nov-2016,950,1003.5,1009,930,1003,1004.6,981.42,4946573,4854675033.95,83043
RELIANCE,10-Nov-2016,1018.6,1004.6,1028.95,1007,1008.05,1010.4,1018.04,2231907,2272175380.2,67470
RELIANCE,11-Nov-2016,997.85,1010.4,1017.5,995.1,998,1001.75,1003.74,3377392,3390025727.25,96461
RELIANCE,15-Nov-2016,996.5,1001.75,1000,979.55,982.85,985.4,988.79,3311592,3274482016.3,95636
RELIANCE,16-Nov-2016,995,985.4,996.8,980.7,982.05,986.55,990.58,3783226,3747602868.45,79760
RELIANCE,17-Nov-2016,986,986.55,998.15,974.4,977.05,977.75,987.21,2886635,2849709343.65,78724
RELIANCE,18-Nov-2016,985,977.75,992.7,982,986.4,987.5,987.8,4151928,4101257453.2,123195
RELIANCE,21-Nov-2016,987.55,987.5,993.55,983.2,993,991.5,988.95,3024712,2991285792.2,89103
RELIANCE,22-Nov-2016,997.7,991.5,1007.8,993.3,1001.3,1001.45,1000.64,4033660,4036245791.6,100268
RELIANCE,23-Nov-2016,1005,1001.45,1010.5,999.55,1007,1009,1005.35,2996248,3012288585,68315
RELIANCE,24-Nov-2016,1005.55,1009,1005.55,982.2,992.4,987.35,989.73,4323375,4278988685.75,98362
RELIANCE,25-Nov-2016,990,987.35,995.9,984.35,993,993.7,989.79,2389829,2365422433.9,90829
RELIANCE,28-Nov-2016,993,993.7,1000.6,984.1,986.5,986.65,991.92,1900161,1884801098.9,85702
RELIANCE,29-Nov-2016,989,986.65,1004.3,988.05,997.95,997.7,999.9,2259609,2259387576.45,83165
RELIANCE,30-Nov-2016,999.95,997.7,999.95,986.65,988.15,990.05,990.16,6308004,6245953460.85,103344
RELIANCE,01-Dec-2016,1000,990.05,1015,995,996.5,997.75,1004.55,2886513,2899649144.45,64770
RELIANCE,02-Dec-2016,995.9,997.75,1005,991.8,995.6,994.75,999.59,2853045,2851867039.95,115352
RELIANCE,05-Dec-2016,995,994.75,999.7,986.5,993.05,993.85,993.15,911410,905170181.75,33770
RELIANCE,06-Dec-2016,996,993.85,1006.55,994.6,1003.25,1005.2,1000.6,1537535,1538464382.05,77584
RELIANCE,07-Dec-2016,1004,1005.2,1007.6,996.35,1001.85,999.15,1002.8,1127113,1130270448.75,47622
RELIANCE,08-Dec-2016,1005.05,999.15,1021.8,1004.35,1019.55,1020.05,1017.09,2000230,2034423374.2,63936
RELIANCE,09-Dec-2016,1022,1020.05,1031.85,1020.3,1028.95,1028.95,1027.97,1883333,1936017722.25,61243
RELIANCE,12-Dec-2016,1020.5,1028.95,1041.7,1020.5,1024.9,1027.2,1034.34,2062700,2133530208.15,72075
RELIANCE,13-Dec-2016,1028,1027.2,1041,1027.55,1039,1039.8,1037.64,2369453,2458635173.75,84958
RELIANCE,14-Dec-2016,1039.8,1039.8,1064.45,1038.2,1056.35,1059.5,1056.76,5517829,5830998013.35,117128
RELIANCE,15-Dec-2016,1052.4,1059.5,1067.6,1048.65,1051,1052.95,1059.31,4418967,4681049111.2,75838
RELIANCE,16-Dec-2016,1052,1052.95,1062,1052,1055.85,1057.15,1057.34,3415537,3611399947.5,77749
RELIANCE,19-Dec-2016,1055,1057.15,1066.95,1054.35,1060.55,1062.55,1063.71,3430950,3649521699.85,55483
RELIANCE,20-Dec-2016,1054.7,1062.55,1061,1053.15,1060,1057.9,1058.65,2671719,2828402958.7,47616
RELIANCE,21-Dec-2016,1060.1,1057.9,1067.3,1057.2,1063,1063.25,1061.12,4655758,4940302652.9,89738
RELIANCE,22-Dec-2016,1058,1063.25,1062.65,1050.95,1052,1053.35,1058.51,6604416,6990846841.25,71577
